,,,,,,,,,,FECHA CREACION:,,19/1/2026,,
,METAS 2026,,,,,,,,,,,,,
Meta Neta,,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
200.000 U$D,FACTURACION N:,38.432 U$D,10.786 U$D,4.000 U$D,15.906 U$D,7.740 U$D,,,0 U$D,0 U$D,0 U$D,0 U$D,0 U$D,0 U$D
,Cant de Props en  Meta,30,Ticket Promedio,,125.000 U$D,Ticket Mas Común,,,,,,,,
,,,,,,,,,,,,,,
,LISTINGS  Inicio,Objetivos,22,"*Sugerido +12 -20 // *Sugerido +50% ""Vendible"" // Ticket promedio D100.000 // Comi 5%",,,,,,,,,,
,Captaciones Referidos,15,2,2,3,0,0,0,0,0,0,0,0,0
,Captaciones Embudos,15,1,2,1,0,,,,,,,,
,Venta Referido,8,1,0,3,2,,,,,,,,
,Venta Embudo,8,0,0,0,0,,,,,,,,
,Baja Referido,5,0,2,0,0,,,,,,,,
,Baja Embudo,5,0,0,0,0,,,,,,,,
,LISTINGS Final,,22,24,25,23,23,23,23,23,23,23,23,23
,Tasaciones Hechas Referido,65,5,3,,,,,,,,,,
,Tasaciones Hechas Embudo,43,6,1,,,,,,,,,,
,% Efectividad Tasaciones Referido,70%,40%,67%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,% Efectividad Tasaciones Embudo,50%,17%,200%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,
,SUBIR COMISION PROMEDIO,,,,,,,,,,,,,
,,,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
,Tickets promedio a Junio,68.600 U$D,102.500 U$D,0 U$D,104.900 U$D,67.000 U$D,,,,,,,,